# output_name	mirror_status	url
portal-index.html	fetch	https://www.zillowgroup.com/developers/
portal-agent-reviews.html	fetch	https://www.zillowgroup.com/developers/api/agents/agent-reviews/
portal-mls-listings.html	fetch	https://www.zillowgroup.com/developers/api/mls-broker-data/mls-listings/
portal-reviews-api.html	fetch	https://www.zillowgroup.com/developers/api/mls-broker-data/reviews-api/
portal-get-current-rates.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/get-current-rates/
portal-zillow-lender-reviews.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/zillow-lender-reviews/
portal-prospect-sync-api.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/prospect-sync-api/
portal-prospect-trigger-api.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/prospect-trigger-api/
portal-rate-cloud-api.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/rate-cloud-api/
portal-los-plug-in-integration-api.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/los-plug-in-integration-api/
portal-lead-posting-api.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/lead-posting-api/
portal-third-party-administration-guide.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/3rd-party-administration-guide/
portal-third-party-integration-guide.html	fetch	https://www.zillowgroup.com/developers/api/mortgage/3rd-party-integration-guide/
portal-public-records-api.html	fetch	https://www.zillowgroup.com/developers/api/public-data/public-records-api/
portal-neighborhood-data.html	fetch	https://www.zillowgroup.com/developers/api/public-data/neighborhood-data/
portal-real-estate-metrics.html	fetch	https://www.zillowgroup.com/developers/api/public-data/real-estate-metrics/
portal-rentals-feed-integrations.html	fetch	https://www.zillowgroup.com/developers/api/rentals/rentals-feed-integrations/
portal-rentals-lead-api.html	fetch	https://www.zillowgroup.com/developers/api/rentals/lead-api/
portal-transaction-management.html	fetch	https://www.zillowgroup.com/developers/api/transactions/transaction-management/
portal-zestimates-api.html	fetch	https://www.zillowgroup.com/developers/api/zestimate/zestimates-api/
portal-terms.html	fetch	https://www.zillowgroup.com/developers/terms/
mortgage-get-rates.html	fetch	https://mortgageapi.zillow.com/api/getRates
mortgage-lender-reviews.html	fetch	https://mortgageapi.zillow.com/api/zillowLenderReviews
bridge-zillow-group-data.html	fetch	https://bridgedataoutput.com/docs/platform/API/zg-data#agent-reviews
bridge-parcels.html	fetch	https://bridgedataoutput.com/docs/platform/#parcels
bridge-zestimates.html	fetch	https://bridgedataoutput.com/docs/platform/#zestimates
dotloop-public-api-v2.html	fetch	https://dotloop.github.io/public-api/
zillow-research-data.html	fetch	https://www.zillow.com/research/data/
rental-bulk-feed-guide.pdf	linked-blocked	https://s3.amazonaws.com/files.hotpads.com/%2Bguides/Rental%2BListing%2BBulk%2BFeed%2BGuide.pdf
mits-data-models.html	fetch	https://rettc.org/mits-data-models
rental-real-time-listing-guide.pdf	linked-blocked	https://s3.amazonaws.com/files.hotpads.com/%2Bguides/Rental%2BListing%2BReal-Time%2BListing%2BGuide.pdf
rental-lead-api-guide.pdf	linked-blocked	https://s3.amazonaws.com/files.hotpads.com/%2Bguides/Lead%2BAPI%2BGuide.pdf
